,City,Country,Max Temp,Description,Lat,Lng,Hotel_Name
7,Mount Isa,AU,73.17,light intensity shower rain,-20.7333,139.5,Ibis Styles
9,Lorengau,PG,80.56,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
11,Pochutla,MX,88.83,clear sky,15.7432,-96.4661,Posada San Jose
15,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Clifton Hall Great House
17,Mamallapuram,IN,78.85,few clouds,12.6264,80.1722,Radisson Temple Bay
20,Atuona,PF,78.01,light rain,-9.8,-139.0333,Pearl Resort
24,Meulaboh,ID,74.75,overcast clouds,4.1363,96.1285,Hotel Meuligou
25,Hilo,US,76.24,scattered clouds,19.7297,-155.09,Dolphin Bay Hotel
27,Faanui,PF,80.96,few clouds,-16.4833,-151.75,Four Seasons Resort Bora Bora
29,Puerto Ayora,EC,82.36,few clouds,-0.7393,-90.3518,Muyuyo Galápagos
32,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Preskil Island Resort
33,Kapaa,US,74.1,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
41,Ambilobe,MG,73.22,overcast clouds,-13.2,49.05,Diagonal Hôtel
43,Paramonga,PE,74.08,clear sky,-10.6667,-77.8333,Hotel Rico
44,Hithadhoo,MV,79.86,scattered clouds,-0.6,73.0833,Pebbles Inn
53,Kalmunai,LK,75.24,overcast clouds,7.4167,81.8167,Sakkaryya Hotel and Restaurant
56,Polewali,ID,76.17,overcast clouds,-3.4324,119.3435,hotel perdana
57,Rikitea,PF,78.19,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
61,Cape Town,ZA,71.38,clear sky,-33.9258,18.4232,DoubleTree by Hilton Hotel Cape Town - Upper Eastside
64,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti International Resort
65,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Hôtel L'Hirondelle
70,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Super 8
73,Hambantota,LK,75.88,broken clouds,6.1241,81.1185,Peacock Beach hotel Hamabthota
74,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
76,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,ibis Styles Kununurra
77,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
79,Manta,EC,80.38,broken clouds,-0.95,-80.7333,Mantahost Hotel
90,Neiafu,TO,77.68,few clouds,-18.65,-173.9833,Port Wine Guest House
94,Mar Del Plata,AR,88.83,clear sky,-38.0023,-57.5575,Hotel Valles. Mar del Plata
102,Tevaitoa,PF,81.19,clear sky,-16.7833,-151.5,Raiatea Lodge
104,Chuy,UY,76.68,clear sky,-33.6971,-53.4616,Bertelli Chuí Hotel
109,Sinnamary,GF,77.29,overcast clouds,5.3833,-52.95,L'Oiseau de Paradis - Hôtel Eco-Lodge
111,Sabang,ID,80.28,overcast clouds,5.8933,95.3214,Sabang Hill
116,Bengkulu,ID,74.79,overcast clouds,-3.8004,102.2655,Hotel Andalas Permai
118,Emerald,AU,72.34,overcast clouds,-23.5333,148.1667,Emerald Central Hotel
122,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,Le Baril
123,Frontera,MX,73.33,clear sky,26.9333,-101.45,holliday in
129,Maragogi,BR,80.37,clear sky,-9.0122,-35.2225,Hotel Praia Dourada
133,Vanimo,PG,76.48,overcast clouds,-2.6741,141.3028,Vanimo Surf Lodge
134,Salalah,OM,75.29,scattered clouds,17.0151,54.0924,Al Andalus Hotel Apartments
137,Touros,BR,80.71,broken clouds,-5.1989,-35.4608,Pousada Atlântico
140,Kavieng,PG,82.17,scattered clouds,-2.5744,150.7967,Kavieng Niu Lodge
143,Avarua,CK,75.25,light rain,-21.2078,-159.775,Natura Nikao Beach Bungalow
146,Imbituba,BR,74.75,scattered clouds,-28.24,-48.6703,Hotel Recanto
152,Itarema,BR,82.6,clear sky,-2.9248,-39.9167,Barraca Do Kite
158,Maceio,BR,85.44,clear sky,-9.6658,-35.7353,Hotel Praia Bonita
166,Coquimbo,CL,73.13,clear sky,-29.9533,-71.3436,Hotel Liverpool
168,Guerrero Negro,MX,70.18,clear sky,27.9769,-114.0611,Cabanas Malarrimo
172,Quelimane,MZ,80.55,moderate rain,-17.8786,36.8883,Hotel Chuabo
174,Sitio Novo Do Tocantins,BR,85.93,few clouds,-5.5183,-47.4611,New Anápolis Hotel
183,Chimbote,PE,73.44,clear sky,-9.0853,-78.5783,"Hotel ""El Conquistador"""
184,Robstown,US,82.96,broken clouds,27.7903,-97.6689,Quality Inn & Suites
185,Vao,NC,78.04,overcast clouds,-22.6667,167.4833,Nataiwatch
187,George Town,MY,78.73,few clouds,5.4112,100.3354,Super 8
188,Ikom,NG,79.23,clear sky,5.9667,8.7063,Gold Palm Hotels
193,Rawson,AR,76.21,broken clouds,-43.3002,-65.1023,Hotel Punta León
211,Copiapo,CL,71.29,clear sky,-27.3667,-70.3333,PARIX
220,Alta Floresta,BR,73.6,moderate rain,-9.8756,-56.0861,Villas Hotel
223,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Maludja Bungalows
224,Cidreira,BR,74.53,few clouds,-30.1811,-50.2056,Hotel Castelo
230,Grajau,BR,80.85,light rain,-5.8194,-46.1386,Torre Palace Hotel
235,Buchanan,LR,79.09,clear sky,5.8808,-10.0467,Buchanan Hotel
242,Puerto Baquerizo Moreno,EC,73.72,scattered clouds,-0.9,-89.6,Miconia Hotel & Restaurant
249,Port Blair,IN,75.24,mist,11.6667,92.75,Hornbill Nest resort
250,Sibolga,ID,73.6,overcast clouds,1.7427,98.7792,Hotel Hotma
251,Owando,CG,78.4,overcast clouds,-0.4819,15.8999,Hotel de l'Eglise
252,Sambava,MG,76.84,light rain,-14.2667,50.1667,Orchidéa Beach II
255,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Pousada dos Quatro Cantos
256,Tabou,CI,79.9,scattered clouds,4.423,-7.3528,hôtel le rochet
257,Cabo San Lucas,MX,81.61,clear sky,22.8909,-109.9124,Waldorf Astoria Los Cabos Pedregal
265,Basco,PH,74.48,broken clouds,20.4487,121.9702,Shanedels Inn and Cafe
274,San Vicente,AR,86.04,clear sky,-26.6167,-54.1333,American
276,Waingapu,ID,78.4,overcast clouds,-9.6567,120.2641,Hotel Jemmy
280,Cabanas,CU,79.84,scattered clouds,22.9758,-82.9219,Vista Hermosa
281,Padang,ID,75.16,overcast clouds,-0.9492,100.3543,Mercure Hotel
