City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
0,Ushuaia,AR,-54.8,-68.3,62.26,36,40,9.22,scattered clouds,2023-01-07 19:25:23
1,Barrow,US,71.2906,-156.7887,-11.18,77,0,13.8,mist,2023-01-07 19:30:25
2,Mataura,NZ,-46.1927,168.8643,55.33,61,1,4.56,clear sky,2023-01-07 19:30:20
3,Clyde River,CA,70.4692,-68.5914,-28.97,75,0,3.44,clear sky,2023-01-07 19:30:42
4,Kaitangata,NZ,-46.2817,169.8464,55.56,68,0,8.81,clear sky,2023-01-07 19:31:53
5,Marsa Matruh,EG,31.3525,27.2453,59.2,77,40,6.91,light rain,2023-01-07 19:33:03
6,Kavaratti,IN,10.5669,72.642,81.14,64,5,7.11,clear sky,2023-01-07 19:33:46
7,Mount Isa,AU,-20.7333,139.5,73.17,100,100,5.75,light intensity shower rain,2023-01-07 19:31:06
8,Punta Arenas,CL,-53.15,-70.9167,66.31,30,20,23.02,few clouds,2023-01-07 19:30:08
9,Lorengau,PG,-2.0226,147.2712,80.56,78,99,3.91,overcast clouds,2023-01-07 19:31:12
10,Sangar,RU,63.9242,127.4739,-25.71,88,100,6.98,overcast clouds,2023-01-07 19:40:03
11,Pochutla,MX,15.7432,-96.4661,88.83,41,0,9.26,clear sky,2023-01-07 19:40:03
12,Little Current,CA,45.9793,-81.9248,18.41,81,67,5.28,broken clouds,2023-01-07 19:40:03
13,Nikolskoye,RU,59.7035,30.7861,6.8,89,96,4.5,overcast clouds,2023-01-07 19:30:39
14,Bluff,NZ,-46.6,168.3333,54.43,70,1,12.1,clear sky,2023-01-07 19:30:35
15,Bathsheba,BB,13.2167,-59.5167,83.01,74,40,17.27,scattered clouds,2023-01-07 19:31:15
16,Port Alfred,ZA,-33.5906,26.891,64.18,90,83,8.84,broken clouds,2023-01-07 19:30:37
17,Mamallapuram,IN,12.6264,80.1722,78.85,80,19,10.29,few clouds,2023-01-07 19:40:05
18,Lasa,IT,46.6166,10.7002,36.48,81,27,2.13,scattered clouds,2023-01-07 19:32:09
19,Margate,GB,51.3813,1.3862,48.69,86,84,8.99,light rain,2023-01-07 19:31:24
20,Atuona,PF,-9.8,-139.0333,78.01,77,47,16.46,light rain,2023-01-07 19:30:48
21,Hobart,AU,-42.8794,147.3294,56.26,89,2,1.01,clear sky,2023-01-07 19:30:57
22,Nanortalik,GL,60.1432,-45.2371,22.53,80,53,5.88,broken clouds,2023-01-07 19:30:50
23,Xuanwu,CN,32.069,118.8138,31.95,55,0,4.09,clear sky,2023-01-07 19:40:06
24,Meulaboh,ID,4.1363,96.1285,74.75,87,100,3.0,overcast clouds,2023-01-07 19:30:16
25,Hilo,US,19.7297,-155.09,76.24,69,40,8.05,scattered clouds,2023-01-07 19:31:08
26,Teya,RU,60.3778,92.6267,-8.41,98,100,2.3,overcast clouds,2023-01-07 19:31:41
27,Faanui,PF,-16.4833,-151.75,80.96,66,17,1.88,few clouds,2023-01-07 19:32:43
28,Busselton,AU,-33.65,115.3333,54.93,91,2,7.72,clear sky,2023-01-07 19:30:12
29,Puerto Ayora,EC,-0.7393,-90.3518,82.36,91,21,7.0,few clouds,2023-01-07 19:30:44
30,Nanchang,CN,28.6833,115.8833,50.86,56,0,2.51,clear sky,2023-01-07 19:40:08
31,Viedma,AR,-40.8135,-62.9967,104.25,13,29,20.18,scattered clouds,2023-01-07 19:32:04
32,Mahebourg,MU,-20.4081,57.7,79.25,78,40,6.91,scattered clouds,2023-01-07 19:31:40
33,Kapaa,US,22.0752,-159.319,74.1,90,40,5.75,light rain,2023-01-07 19:31:01
34,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,85,100,10.36,light snow,2023-01-07 19:31:06
35,Vidalia,US,32.2177,-82.4135,66.15,30,0,4.61,clear sky,2023-01-07 19:40:09
36,Okha,RU,53.5739,142.9478,-9.09,97,100,4.59,overcast clouds,2023-01-07 19:40:09
37,Severo-Kurilsk,RU,50.6789,156.125,25.48,69,85,15.28,overcast clouds,2023-01-07 19:32:02
38,Hermanus,ZA,-34.4187,19.2345,66.79,74,99,11.61,overcast clouds,2023-01-07 19:40:10
39,Saint George,US,37.1041,-113.5841,50.43,63,0,5.75,clear sky,2023-01-07 19:27:35
40,Katobu,ID,-4.9408,122.5276,74.5,93,92,0.31,overcast clouds,2023-01-07 19:33:26
41,Ambilobe,MG,-13.2,49.05,73.22,91,98,3.74,overcast clouds,2023-01-07 19:40:11
42,Yuncheng,CN,35.0231,110.9928,41.65,26,0,1.05,clear sky,2023-01-07 19:40:11
43,Paramonga,PE,-10.6667,-77.8333,74.08,68,8,9.62,clear sky,2023-01-07 19:40:12
44,Hithadhoo,MV,-0.6,73.0833,79.86,80,48,10.54,scattered clouds,2023-01-07 19:31:18
45,Lagoa,PT,39.05,-27.9833,60.96,89,100,25.68,overcast clouds,2023-01-07 19:28:47
46,Te Anau,NZ,-45.4167,167.7167,55.0,77,29,0.76,scattered clouds,2023-01-07 19:30:15
47,Buala,SB,-8.145,159.5921,81.61,80,100,8.16,overcast clouds,2023-01-07 19:31:28
48,Qaanaaq,GL,77.484,-69.3632,-12.14,95,100,4.92,overcast clouds,2023-01-07 19:30:52
49,Port Elizabeth,ZA,-33.918,25.5701,68.29,89,20,6.91,few clouds,2023-01-07 19:30:33
50,Khatanga,RU,71.9667,102.5,-30.78,98,100,3.24,overcast clouds,2023-01-07 19:30:48
51,Albany,US,42.6001,-73.9662,41.34,69,100,1.01,overcast clouds,2023-01-07 19:28:59
52,Churapcha,RU,62.0025,132.4325,-49.41,100,72,3.76,broken clouds,2023-01-07 19:34:01
